fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0136986301369863,0.8847037553787231
0.0,0.0319634703196347,0.8785044550895691
0.0,0.0410958904109589,0.8743678331375122
0.00625,0.0502283105022831,0.8702715039253235
0.00625,0.0593607305936073,0.8575835824012756
0.00625,0.0639269406392694,0.8533463478088379
0.00625,0.0730593607305936,0.8421960473060608
0.00625,0.0776255707762557,0.8203285336494446
0.0125,0.0867579908675799,0.8150039911270142
0.01875,0.0867579908675799,0.8144502639770508
0.01875,0.1004566210045662,0.8128448724746704
0.01875,0.1050228310502283,0.8110431432723999
0.025,0.1050228310502283,0.8106686472892761
0.025,0.1324200913242009,0.783863365650177
0.03125,0.1324200913242009,0.7835861444473267
0.04375,0.136986301369863,0.7795884609222412
0.05,0.136986301369863,0.7759957313537598
0.05,0.1415525114155251,0.7723222970962524
0.05625,0.1415525114155251,0.77181077003479
0.05625,0.1461187214611872,0.7710057497024536
0.0625,0.1461187214611872,0.7696323394775391
0.0625,0.1552511415525114,0.7638481855392456
0.06875,0.1643835616438356,0.760935366153717
0.06875,0.1689497716894977,0.7599582672119141
0.075,0.1689497716894977,0.7553895711898804
0.0875,0.1780821917808219,0.7512967586517334
0.0875,0.1872146118721461,0.7500688433647156
0.0875,0.2054794520547945,0.7458147406578064
0.0875,0.2100456621004566,0.7449051737785339
0.09375,0.2100456621004566,0.743927538394928
0.09375,0.2146118721461187,0.7428489327430725
0.09375,0.228310502283105,0.7424219846725464
0.1,0.2328767123287671,0.7414094805717468
0.1,0.2420091324200913,0.739372968673706
0.10625,0.2420091324200913,0.7385275959968567
0.10625,0.2511415525114155,0.7295728325843811
0.11875,0.2511415525114155,0.7284203767776489
0.11875,0.2557077625570776,0.7279639840126038
0.125,0.2557077625570776,0.727384090423584
0.125,0.2602739726027397,0.7250576615333557
0.13125,0.2648401826484018,0.7248760461807251
0.13125,0.273972602739726,0.7227361798286438
0.13125,0.2922374429223744,0.719416618347168
0.13125,0.3059360730593607,0.7149882316589355
0.13125,0.3242009132420091,0.712164044380188
0.13125,0.3378995433789954,0.7091369032859802
0.13125,0.3470319634703196,0.7053021788597107
0.1375,0.3470319634703196,0.7008399963378906
0.1375,0.3607305936073059,0.6966925859451294
0.14375,0.3607305936073059,0.6911589503288269
0.15625,0.3744292237442922,0.6856135129928589
0.15625,0.3835616438356164,0.6854361891746521
0.1625,0.3926940639269406,0.6795939207077026
0.18125,0.3972602739726027,0.6759250164031982
0.1875,0.3972602739726027,0.6750448942184448
0.1875,0.410958904109589,0.673317015171051
0.2,0.4337899543378995,0.6729820370674133
0.2125,0.4383561643835616,0.6720040440559387
0.21875,0.4383561643835616,0.6708940267562866
0.21875,0.4520547945205479,0.6624114513397217
0.23125,0.4611872146118721,0.6595000624656677
0.23125,0.4657534246575342,0.6585594415664673
0.2375,0.4657534246575342,0.6572246551513672
0.2375,0.4977168949771689,0.6361333727836609
0.25625,0.4977168949771689,0.6345677971839905
0.2625,0.502283105022831,0.625717043876648
0.2625,0.5068493150684932,0.6238043904304504
0.26875,0.5068493150684932,0.62200927734375
0.26875,0.5114155251141552,0.6197225451469421
0.28125,0.5388127853881278,0.61944979429245
0.2875,0.5388127853881278,0.6187489628791809
0.2875,0.547945205479452,0.6176928281784058
0.29375,0.5616438356164384,0.6164475083351135
0.29375,0.5707762557077626,0.615659773349762
0.3,0.5799086757990868,0.6129717826843262
0.3,0.5844748858447488,0.6111038327217102
0.3125,0.5844748858447488,0.6101120114326477
0.325,0.5981735159817352,0.603958785533905
0.325,0.6073059360730594,0.603886604309082
0.325,0.6118721461187214,0.6029465794563293
0.33125,0.6118721461187214,0.601578414440155
