,precision,recall,f1-score,support
team2_won,0.6416666666666667,0.48125,0.55,160.0
team1_won,0.6795366795366795,0.8036529680365296,0.7364016736401674,219.0
accuracy,0.6675461741424802,0.6675461741424802,0.6675461741424802,0.6675461741424802
macro avg,0.6606016731016731,0.6424514840182648,0.6432008368200837,379.0
weighted avg,0.6635493390110804,0.6675461741424802,0.6577096742142392,379.0
