,precision,recall,f1-score,support
team2_won,0.6691729323308271,0.55625,0.6075085324232082,160.0
team1_won,0.7113821138211383,0.7990867579908676,0.7526881720430108,219.0
accuracy,0.6965699208443272,0.6965699208443272,0.6965699208443272,0.6965699208443272
macro avg,0.6902775230759827,0.6776683789954339,0.6800983522331094,379.0
weighted avg,0.6935629343001626,0.6965699208443272,0.6913986144198752,379.0
