fpr,tpr,threshold
0.0,0.0,inf
0.00625,0.0091324200913242,0.8348991870880127
0.00625,0.0182648401826484,0.8247766494750977
0.0125,0.0273972602739726,0.8198732137680054
0.0125,0.0365296803652968,0.8186603784561157
0.0125,0.0547945205479452,0.8114007115364075
0.0125,0.0684931506849315,0.8112896680831909
0.01875,0.0684931506849315,0.810684859752655
0.01875,0.0730593607305936,0.8082005977630615
0.025,0.0776255707762557,0.8069573640823364
0.025,0.0867579908675799,0.8068917393684387
0.025,0.1004566210045662,0.803004801273346
0.025,0.1095890410958904,0.8010942339897156
0.025,0.1232876712328767,0.798915445804596
0.03125,0.1232876712328767,0.7972409129142761
0.03125,0.1506849315068493,0.7855142951011658
0.0375,0.1506849315068493,0.7843127846717834
0.0375,0.1689497716894977,0.7794836163520813
0.0375,0.182648401826484,0.7704014182090759
0.04375,0.182648401826484,0.7698777318000793
0.04375,0.1872146118721461,0.7696294188499451
0.04375,0.1963470319634703,0.7677499651908875
0.04375,0.2054794520547945,0.7659168839454651
0.05,0.2054794520547945,0.7639431357383728
0.05,0.2191780821917808,0.760712206363678
0.05625,0.2191780821917808,0.7600638270378113
0.0625,0.2237442922374429,0.7592964172363281
0.0625,0.228310502283105,0.7512312531471252
0.06875,0.228310502283105,0.7505485415458679
0.06875,0.2374429223744292,0.7473909854888916
0.06875,0.2465753424657534,0.7456378936767578
0.08125,0.2557077625570776,0.7401261925697327
0.08125,0.273972602739726,0.7279640436172485
0.0875,0.2785388127853881,0.7267575263977051
0.0875,0.2831050228310502,0.7265511751174927
0.09375,0.2831050228310502,0.7260658144950867
0.09375,0.2876712328767123,0.7259541749954224
0.1,0.2876712328767123,0.7229688763618469
0.1,0.2968036529680365,0.7140332460403442
0.10625,0.2968036529680365,0.7111388444900513
0.10625,0.3287671232876712,0.69837886095047
0.10625,0.3424657534246575,0.6968838572502136
0.1125,0.3424657534246575,0.6949759125709534
0.11875,0.3470319634703196,0.6922407746315002
0.11875,0.3607305936073059,0.6829450130462646
