feature,importance_gain
h2h_pair_key_Hong Kong__vs__United Arab Emirates,0.0
h2h_pair_key_Hong Kong__vs__Scotland,0.0
h2h_pair_key_India__vs__United Arab Emirates,0.0
h2h_pair_key_Scotland__vs__United States,0.0
h2h_pair_key_Scotland__vs__United Arab Emirates,0.0
h2h_pair_key_Scotland__vs__Sri Lanka,0.0
h2h_pair_key_Papua New Guinea__vs__West Indies,0.0
h2h_pair_key_Papua New Guinea__vs__United States,0.0
h2h_pair_key_Papua New Guinea__vs__United Arab Emirates,0.0
team1_Canada,0.0
h2h_pair_key_Ireland__vs__Scotland,0.0
h2h_pair_key_Pakistan__vs__West Indies,0.0
h2h_pair_key_Pakistan__vs__United Arab Emirates,0.0
h2h_pair_key_Pakistan__vs__Sri Lanka,0.0
h2h_pair_key_Pakistan__vs__South Africa,0.0
h2h_pair_key_Pakistan__vs__Scotland,0.0
h2h_pair_key_Oman__vs__United States,0.0
h2h_pair_key_Ireland__vs__Sri Lanka,0.0
h2h_pair_key_Ireland__vs__South Africa,0.0
h2h_pair_key_Pakistan__vs__Zimbabwe,0.0
venue_Boland Park,0.0
venue_Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0.0
venue_Bert Sutcliffe Oval,0.0
venue_Bellerive Oval,0.0
venue_Bayuemas Oval,0.0
venue_Bay Oval,0.0
venue_Barsapara Cricket Stadium,0.0
venue_Barabati Stadium,0.0
venue_Wankhede Stadium,0.0
venue_Arnos Vale Ground,0.0
h2h_pair_key_Oman__vs__Scotland,0.0
h2h_pair_key_Oman__vs__Papua New Guinea,0.0
h2h_pair_key_New Zealand__vs__Zimbabwe,0.0
h2h_pair_key_New Zealand__vs__West Indies,0.0
h2h_pair_key_New Zealand__vs__Sri Lanka,0.0
h2h_pair_key_New Zealand__vs__South Africa,0.0
h2h_pair_key_New Zealand__vs__Scotland,0.0
venue_Arun Jaitley Stadium,0.0
venue_Gaddafi Stadium,0.0
venue_Eden Park,0.0
venue_Dubai International Cricket Stadium,0.0
venue_Dr YS Rajasekhara Reddy Cricket Stadium,0.0
venue_Diamond Oval,0.0
venue_Daren Sammy Cricket Ground,0.0
venue_Curling Club,0.0
venue_County Ground,0.0
venue_Brabourne Stadium,0.0
venue_Civil Service Cricket Club,0.0
venue_Choice Moosa Stadium,0.0
venue_Central Broward Regional Park,0.0
venue_Captain Roop Singh Stadium,0.0
venue_Cambusdoon New Ground,0.0
venue_Bulawayo Athletic Club,0.0
venue_Buffalo Park,0.0
venue_Brisbane Cricket Ground,0.0
