,precision,recall,f1-score,support
team2_won,0.6016260162601627,0.4625,0.5229681978798587,160.0
team1_won,0.6640625,0.776255707762557,0.7157894736842105,219.0
accuracy,0.6437994722955145,0.6437994722955145,0.6437994722955145,0.6437994722955145
macro avg,0.6328442581300813,0.6193778538812785,0.6193788357820347,379.0
weighted avg,0.6377040899779051,0.6437994722955145,0.6343873519726109,379.0
