fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0136986301369863,0.8640217185020447
0.00625,0.0228310502283105,0.8584408164024353
0.00625,0.0365296803652968,0.8554159998893738
0.00625,0.0410958904109589,0.851523220539093
0.0125,0.045662100456621,0.8490324020385742
0.0125,0.0547945205479452,0.8465142846107483
0.0125,0.0593607305936073,0.8272867202758789
0.01875,0.0684931506849315,0.8252941966056824
0.01875,0.0730593607305936,0.8222513198852539
0.01875,0.0821917808219178,0.8200104832649231
0.025,0.0867579908675799,0.8169947266578674
0.0375,0.091324200913242,0.8159084916114807
0.0375,0.1050228310502283,0.8124175071716309
0.0375,0.1095890410958904,0.8104540109634399
0.04375,0.1095890410958904,0.8015493750572205
0.04375,0.1141552511415525,0.8006672859191895
0.05,0.1141552511415525,0.7974667549133301
0.05,0.1324200913242009,0.794342577457428
0.0625,0.1324200913242009,0.7939668893814087
0.0625,0.1461187214611872,0.788771390914917
0.0625,0.1598173515981735,0.7857000827789307
0.06875,0.1598173515981735,0.7769827246665955
0.06875,0.1780821917808219,0.7595903873443604
0.09375,0.1963470319634703,0.7591138482093811
0.09375,0.2054794520547945,0.7519288063049316
0.1,0.2054794520547945,0.7514144778251648
0.1,0.2146118721461187,0.7438547611236572
0.1,0.228310502283105,0.7436365485191345
0.1,0.2374429223744292,0.7366402745246887
0.1,0.2465753424657534,0.7329822182655334
0.10625,0.2465753424657534,0.7311267256736755
0.10625,0.2602739726027397,0.7295588254928589
0.10625,0.2648401826484018,0.726629376411438
0.10625,0.273972602739726,0.7257572412490845
0.10625,0.2785388127853881,0.7219672203063965
0.11875,0.2785388127853881,0.717893123626709
0.11875,0.2831050228310502,0.7165951132774353
0.13125,0.2831050228310502,0.7151380777359009
0.1375,0.2876712328767123,0.7144788503646851
0.1375,0.2968036529680365,0.7107833027839661
0.1375,0.3059360730593607,0.7099079489707947
0.15,0.3105022831050228,0.7073416709899902
0.15,0.3333333333333333,0.6975315809249878
0.15,0.3607305936073059,0.6935239434242249
0.15625,0.3744292237442922,0.6929323077201843
0.15625,0.3789954337899543,0.6904681324958801
0.1625,0.3789954337899543,0.6893332004547119
0.16875,0.3881278538812785,0.6886624097824097
0.16875,0.3926940639269406,0.687993049621582
0.18125,0.4063926940639269,0.6876373887062073
0.1875,0.4246575342465753,0.6876139044761658
0.19375,0.4246575342465753,0.6860092878341675
0.19375,0.4292237442922374,0.6859611868858337
0.2,0.4292237442922374,0.6820608377456665
0.2,0.4383561643835616,0.6811922192573547
0.2125,0.4383561643835616,0.6782147884368896
0.2125,0.4474885844748858,0.6757528185844421
0.2125,0.45662100456621,0.673837423324585
0.2125,0.4611872146118721,0.6734024286270142
0.21875,0.4611872146118721,0.6715511083602905
0.225,0.4657534246575342,0.6699679493904114
0.23125,0.4840182648401826,0.6644444465637207
