,precision,recall,f1-score,support
team2_won,0.656934306569343,0.5625,0.6060606060606061,160.0
team1_won,0.7107438016528925,0.7853881278538812,0.7462039045553145,219.0
accuracy,0.6912928759894459,0.6912928759894459,0.6912928759894459,0.6912928759894459
macro avg,0.6838390541111178,0.6739440639269406,0.6761322553079603,379.0
weighted avg,0.6880273921189402,0.6912928759894459,0.6870405067739073,379.0
