split,rows,start_date,end_date,team1_win_rate
train,1209,1993-05-19,2019-02-13,0.564929693961952
validation,303,2019-02-16,2022-06-15,0.6138613861386139
train_plus_validation,1512,1993-05-19,2022-06-15,0.5747354497354498
test,379,2022-06-16,2024-11-17,0.5778364116094987
