,precision,recall,f1-score,support
team2_won,0.5954198473282443,0.4875,0.5360824742268041,160.0
team1_won,0.6693548387096774,0.7579908675799086,0.7109207708779444,219.0
accuracy,0.6437994722955145,0.6437994722955145,0.6437994722955145,0.6437994722955145
macro avg,0.6323873430189608,0.6227454337899543,0.6235016225523742,379.0
weighted avg,0.6381421774404709,0.6437994722955145,0.637110408175616,379.0
