fpr,tpr,threshold
0.0,0.0,inf
0.00625,0.0091324200913242,0.8383820056915283
0.00625,0.0182648401826484,0.8344252705574036
0.00625,0.0228310502283105,0.8341773152351379
0.0125,0.0319634703196347,0.83409583568573
0.0125,0.045662100456621,0.8304240107536316
0.0125,0.0593607305936073,0.8184401392936707
0.0125,0.0684931506849315,0.8177188634872437
0.0125,0.0730593607305936,0.8166535496711731
0.01875,0.0730593607305936,0.8156968951225281
0.025,0.0821917808219178,0.8151401281356812
0.025,0.0958904109589041,0.8124236464500427
0.03125,0.0958904109589041,0.8115749955177307
0.03125,0.1004566210045662,0.8096152544021606
0.0375,0.1095890410958904,0.8090493679046631
0.0375,0.1278538812785388,0.8065841197967529
0.0375,0.136986301369863,0.8063561916351318
0.04375,0.136986301369863,0.8060636520385742
0.04375,0.1415525114155251,0.8043350577354431
0.04375,0.1552511415525114,0.8038598299026489
0.04375,0.1598173515981735,0.8037179708480835
0.05,0.1598173515981735,0.8007214069366455
0.05,0.1689497716894977,0.7958617210388184
0.05625,0.1689497716894977,0.7948858141899109
0.05625,0.1780821917808219,0.7878043055534363
0.0625,0.1917808219178082,0.7862088680267334
0.0625,0.2009132420091324,0.7861204743385315
0.0625,0.2100456621004566,0.7855827212333679
0.0625,0.2328767123287671,0.7712439894676208
0.0625,0.2420091324200913,0.7674046754837036
0.0625,0.2557077625570776,0.7557973861694336
0.06875,0.2557077625570776,0.7452001571655273
0.075,0.2602739726027397,0.7409690022468567
0.075,0.2648401826484018,0.7387565970420837
0.075,0.2785388127853881,0.7377318739891052
0.08125,0.2785388127853881,0.7376493215560913
0.08125,0.2831050228310502,0.7352384924888611
0.0875,0.2831050228310502,0.7351953983306885
0.0875,0.2876712328767123,0.7323236465454102
0.09375,0.2876712328767123,0.7272706627845764
0.09375,0.3013698630136986,0.7129849791526794
0.10625,0.3105022831050228,0.7121296525001526
0.1125,0.3105022831050228,0.7090795040130615
0.1125,0.3150684931506849,0.7074505686759949
0.125,0.3150684931506849,0.7051404118537903
0.125,0.319634703196347,0.7050121426582336
0.13125,0.319634703196347,0.7049756646156311
0.13125,0.3287671232876712,0.7047489881515503
0.14375,0.3287671232876712,0.7011358141899109
0.14375,0.3698630136986301,0.6897127628326416
0.14375,0.3881278538812785,0.6893521547317505
0.15,0.3881278538812785,0.6890164613723755
0.15,0.3926940639269406,0.6881634593009949
0.15625,0.3926940639269406,0.6856276988983154
0.15625,0.3972602739726027,0.6852138042449951
0.16875,0.3972602739726027,0.6849926710128784
0.175,0.3972602739726027,0.6849278807640076
0.175,0.4063926940639269,0.6812981367111206
0.175,0.4155251141552511,0.679244339466095
0.175,0.4246575342465753,0.6782568097114563
0.18125,0.4292237442922374,0.6769270300865173
0.18125,0.4337899543378995,0.6758561730384827
0.20625,0.4520547945205479,0.67348712682724
0.20625,0.45662100456621,0.6730737686157227
0.2125,0.4657534246575342,0.6723293662071228
0.2125,0.4703196347031963,0.6684433817863464
0.225,0.4794520547945205,0.6656934022903442
0.225,0.4977168949771689,0.6604540348052979
0.2375,0.4977168949771689,0.6595757007598877
0.2375,0.5068493150684932,0.6588662266731262
0.2375,0.5114155251141552,0.6564785838127136
0.2375,0.5205479452054794,0.6562276482582092
0.2375,0.5296803652968036,0.6434314250946045
0.25,0.5296803652968036,0.6427715420722961
0.25,0.5342465753424658,0.6393463015556335
0.25,0.54337899543379,0.6373181939125061
0.2625,0.54337899543379,0.6293630599975586
0.2625,0.547945205479452,0.6281357407569885
0.26875,0.5570776255707762,0.625929594039917
0.275,0.5616438356164384,0.6249206066131592
0.29375,0.5707762557077626,0.6245232820510864
0.3,0.5844748858447488,0.6237021684646606
0.3,0.589041095890411,0.6228960156440735
0.3,0.6164383561643836,0.6221700310707092
0.30625,0.6164383561643836,0.6220239996910095
0.30625,0.6210045662100456,0.6219952702522278
0.3125,0.6255707762557078,0.6208028793334961
0.325,0.639269406392694,0.6180405616760254
0.33125,0.639269406392694,0.6178958415985107
0.33125,0.6438356164383562,0.6128942966461182
0.3375,0.6438356164383562,0.6121338605880737
0.3375,0.6484018264840182,0.6107150316238403
0.35,0.6484018264840182,0.6071244478225708
0.35,0.6621004566210046,0.6003332734107971
0.35625,0.6666666666666666,0.5989189743995667
0.3625,0.6666666666666666,0.5942959189414978
0.3625,0.6712328767123288,0.5897854566574097
0.36875,0.6757990867579908,0.5887539982795715
0.38125,0.680365296803653,0.5836839079856873
0.38125,0.684931506849315,0.5830664038658142
0.39375,0.684931506849315,0.5805104374885559
0.39375,0.6894977168949772,0.5799052715301514
0.4,0.6894977168949772,0.5767536163330078
0.4,0.7214611872146118,0.5576567053794861
0.4,0.7397260273972602,0.5381943583488464
0.4,0.7534246575342466,0.5295949578285217
0.4125,0.7534246575342466,0.5265877842903137
0.41875,0.7625570776255708,0.5249087810516357
0.425,0.7671232876712328,0.5235055685043335
0.4375,0.771689497716895,0.5220774412155151
0.4375,0.776255707762557,0.5209205150604248
0.4375,0.7853881278538812,0.5177021026611328
0.45,0.7853881278538812,0.5176253318786621
0.45,0.7990867579908676,0.504184365272522
0.46875,0.7990867579908676,0.49236616492271423
0.46875,0.8036529680365296,0.49151915311813354
0.475,0.8127853881278538,0.4894470274448395
0.5,0.8127853881278538,0.482684463262558
0.5,0.817351598173516,0.4754134714603424
0.53125,0.817351598173516,0.46659037470817566
0.55,0.817351598173516,0.45765751600265503
0.55,0.8264840182648402,0.450386643409729
0.55,0.8447488584474886,0.448436439037323
0.58125,0.8447488584474886,0.4310116767883301
0.58125,0.8493150684931506,0.42982834577560425
0.59375,0.8493150684931506,0.42827320098876953
0.60625,0.867579908675799,0.42257776856422424
0.60625,0.8721461187214612,0.41917192935943604
0.6125,0.8721461187214612,0.40971988439559937
0.6125,0.8767123287671232,0.40953660011291504
0.625,0.8767123287671232,0.4050688147544861
0.63125,0.8812785388127854,0.4028896391391754
0.6375,0.8812785388127854,0.3938056230545044
0.6375,0.8904109589041096,0.38965752720832825
0.64375,0.8904109589041096,0.3871482312679291
0.64375,0.8949771689497716,0.37813881039619446
0.6625,0.8995433789954338,0.37354934215545654
0.675,0.9041095890410958,0.3647048771381378
0.68125,0.9041095890410958,0.3619561195373535
0.68125,0.908675799086758,0.3590116798877716
0.6875,0.91324200913242,0.358276903629303
0.69375,0.91324200913242,0.3540385067462921
0.69375,0.9315068493150684,0.3403934836387634
0.7,0.9315068493150684,0.33998557925224304
0.7,0.9360730593607306,0.3393210470676422
0.7125,0.9406392694063926,0.327269047498703
0.7125,0.9452054794520548,0.32000619173049927
0.73125,0.9452054794520548,0.31102222204208374
0.7375,0.9452054794520548,0.3039216101169586
0.7375,0.954337899543379,0.29658788442611694
0.775,0.954337899543379,0.28408318758010864
0.7875,0.954337899543379,0.28137749433517456
0.79375,0.954337899543379,0.2783254086971283
0.79375,0.958904109589041,0.2766245901584625
0.8125,0.958904109589041,0.27226975560188293
0.81875,0.9634703196347032,0.2669469714164734
0.825,0.9634703196347032,0.263357013463974
0.8375,0.9680365296803652,0.2614588141441345
0.85,0.9680365296803652,0.25750795006752014
0.85,0.9726027397260274,0.25651076436042786
0.85625,0.9726027397260274,0.2558406889438629
0.85625,0.9863013698630136,0.24942530691623688
0.875,0.9863013698630136,0.24870143830776215
0.8875,0.9863013698630136,0.24059443175792694
0.89375,0.9863013698630136,0.22373689711093903
0.89375,0.9908675799086758,0.22275477647781372
0.90625,0.9908675799086758,0.2172430008649826
0.925,0.9908675799086758,0.2172139436006546
0.925,0.9954337899543378,0.21701787412166595
0.93125,0.9954337899543378,0.21179239451885223
0.96875,0.9954337899543378,0.20837892591953278
0.96875,1.0,0.20176106691360474
0.9875,1.0,0.19820484519004822
1.0,1.0,0.18460632860660553
