,precision,recall,f1-score,support
0,0.539568345323741,0.46875,0.5016722408026756,160.0
1,0.6458333333333334,0.7077625570776256,0.6753812636165577,219.0
accuracy,0.6068601583113457,0.6068601583113457,0.6068601583113457,0.6068601583113457
macro avg,0.5927008393285371,0.5882562785388128,0.5885267522096167,379.0
weighted avg,0.6009721246749302,0.6068601583113457,0.6020476392096418,379.0
